📦 Total skills in registry: 39647
📁 Already downloaded: 3243
⬇️  To download: ~36404

🔄 Batch 75/199 (200 skills)... ✅ 1851 | ⏭️ 0 | ❌ 8301 | ⚡ 4/s
🔄 Batch 76/199 (200 skills)... ✅ 1883 | ⏭️ 0 | ❌ 8399 | ⚡ 4/s
🔄 Batch 77/199 (200 skills)... ✅ 1916 | ⏭️ 0 | ❌ 8523 | ⚡ 4/s
🔄 Batch 78/199 (200 skills)... ✅ 1942 | ⏭️ 0 | ❌ 8644 | ⚡ 4/s
🔄 Batch 79/199 (200 skills)... ✅ 1996 | ⏭️ 0 | ❌ 8785 | ⚡ 4/s
🔄 Batch 80/199 (200 skills)... ✅ 2064 | ⏭️ 0 | ❌ 8911 | ⚡ 4/s
🔄 Batch 81/199 (200 skills)... ✅ 2129 | ⏭️ 0 | ❌ 9045 | ⚡ 4/s
🔄 Batch 82/199 (200 skills)... ✅ 2193 | ⏭️ 0 | ❌ 9151 | ⚡ 4/s
🔄 Batch 83/199 (200 skills)... ✅ 2284 | ⏭️ 0 | ❌ 9260 | ⚡ 4/s
🔄 Batch 84/199 (200 skills)... 
